Frame,T1Right,T2Right,T3Right,T4Right,T5Right,T6Right,T7Right,T8Right
167,14.1865807,26.03108665,3.738602948,20.07176245,2.608061349,22.52738778,2.065937076,33.1041479
168,14.1041089,26.12416506,3.05700507,20.22910379,2.812293015,22.10191666,0,33.02504746
169,14.0497516,26.23299663,3.987026963,20.96771919,2.757680185,21.76297186,2.392321049,33.02504746
170,14.08274746,26.31070474,4.685630801,21.56,3.219391247,21.70402801,2.624841329,32.98747011
171,14.52398623,26.43490662,5.034085418,22.30305019,3.463408726,21.76354824,2.78990179,33.62425791
172,14.66526563,26.43490662,5.14011673,22.78539462,3.504812691,21.60359229,2.636166914,33.86152885
173,14.66783147,26.46614743,5.036887928,23.14311371,3.619264014,21.62571802,2.784838954,34.57336779
174,14.82223843,26.43490662,4.408021779,23.53286315,3.767014733,21.65375977,3.328586487,34.99910399
175,14.92943616,26.60565835,4.043262049,24.66289845,4.007816363,21.51522624,3.56161761,35.18306684
176,14.95954866,26.24841329,3.75868062,25.07505916,4.312,21.45998621,3.738602948,35.0841676
177,14.98980987,26.63870027,3.668748015,24.5459569,4.36835896,21.50611448,3.748655226,35.0870278
178,15.02021891,26.87113187,3.327172974,24.37621529,4.480349986,21.50611448,3.985846961,34.59372521
179,14.97327326,27.0730319,3.393895697,24.99539158,4.648337337,21.12209838,4.023435348,33.85374851
180,15.08147685,27.87934002,2.336616357,25.92806048,4.720305075,20.84674747,3.83426238,33.73125032
181,15.22098131,27.86662635,1.950376374,27.17760254,4.76,20.85704946,3.738183516,33.20691398
182,15.2675761,28.00789489,2.345323858,27.33195873,4.999078315,20.54833755,3.8281233,32.78239235
183,15.22098131,27.97770312,2.237899015,28.07588916,4.985258268,19.92372656,3.461597319,32.36567466
184,15.18994194,27.55342273,2.355330975,28.5185189,5.011921787,19.40745424,3.369320406,32.42361312
185,15.22098131,27.49206489,2.31504298,28.10446911,4.848772216,18.80883197,3.648175434,32.62167034
186,15.18994194,27.44857009,2.206854775,27.7978946,5.014111287,18.7065148,3.442064497,32.33339326
187,15.23663165,27.2375388,2.780330916,27.71745443,5.06111134,18.42263825,3.338464318,32.2383007
188,15.2675761,27.80381672,3.483272025,28.08186433,4.958767589,17.99265272,3.184130651,31.95853814
189,15.23663165,27.92109683,3.369320406,29.07133626,4.86265771,18.28732282,3.084578415,31.88780833
190,15.2675761,28.42208268,3.821974359,29.62098283,5.051808389,17.21178015,3.069801297,31.6421309
191,15.28348651,28.67642935,4.043262049,29.58968144,5.344700553,16.7689847,3.178215852,31.55663353
192,15.20572734,28.49519707,3.559856177,29.72882776,5.667908256,17.41248839,3.437962187,31.47802789
193,15.3149506,28.10402277,3.488220177,30.42325952,5.903685628,18.28663687,3.516871337,31.02187718
194,15.34655453,28.20160222,3.878581184,30.87855437,6.052146727,19.199835,3.367458389,30.82880108
195,15.39276921,28.11205578,3.979547713,31.11993111,6.268999282,19.54231511,3.024518474,30.42660941
196,15.36126036,28.20160222,3.899948718,32.17052564,6.697796653,19.5599591,3.371646482,29.80720665
197,15.34655453,28.20160222,3.775330449,32.76670017,6.694986781,20.48620531,3.646455814,29.56969692
198,15.39276921,28.22422222,3.60667825,33.09808454,6.935187957,22.20934866,4.224196965,29.38042015
199,15.4706018,28.06734302,3.419211605,33.48125685,6.935187957,22.70066219,4.495722411,29.0380385
200,15.4706018,28.13497069,3.203278321,33.95396884,6.932474306,23.67846617,4.088383544,28.6492957
